t (s),V (mV)
0,16.1781
0.969,16.1046
1.901,16.0391
2.864,15.9613
3.842,15.8853
4.842,15.8047
5.843,15.7267
6.843,15.645
7.843,15.5648
8.843,15.487
9.843,15.4066
10.842,15.3301
11.842,15.2523
12.843,15.1713
13.843,15.0942
14.843,15.0153
15.843,14.9387
16.843,14.8648
17.843,14.7885
18.843,14.7126
19.843,14.6347
20.842,14.5617
21.843,14.4869
22.842,14.4119
23.843,14.3412
24.842,14.2664
25.842,14.1924
26.843,14.1211
27.842,14.0488
28.842,13.9771
29.842,13.906
30.843,13.8349
31.843,13.7596
32.843,13.6904
33.842,13.6163
34.843,13.549
35.843,13.4633
36.843,13.3938
37.843,13.3216
38.843,13.2513
39.843,13.1781
40.842,13.1147
41.843,13.0606
42.842,12.9872
43.843,12.9273
44.843,12.8657
45.842,12.802
46.843,12.7165
47.843,12.6623
48.843,12.5992
49.842,12.5389
50.843,12.4749
51.842,12.4092
52.843,12.3442
53.842,12.2706
54.843,12.2135
55.842,12.1554
56.843,12.0917
57.842,12.0311
58.842,11.9715
59.843,11.9075
60.843,11.8433
61.843,11.7961
62.842,11.7349
63.843,11.6741
64.843,11.6144
65.842,11.5475
66.842,11.4873
67.843,11.4265
68.842,11.3545
69.843,11.2936
70.842,11.2387
71.842,11.1807
72.843,11.1147
73.843,11.0587
74.843,11.0021
75.842,10.9461
76.843,10.885
77.843,10.8305
78.842,10.7747
79.842,10.7187
80.843,10.6624
81.842,10.6085
82.841,10.5532
83.841,10.4954
84.842,10.4374
85.841,10.3821
86.842,10.3333
87.841,10.2761
88.842,10.2202
89.841,10.1769
90.842,10.1251
91.842,10.0576
92.843,9.9857
93.842,9.9467
94.843,9.899
95.843,9.8363
96.842,9.7972
97.843,9.7466
98.842,9.6842
99.843,9.6462
100.843,9.5846
101.843,9.5431
102.842,9.4756
103.842,9.4359
104.843,9.391
105.843,9.3376
106.842,9.283
107.843,9.2364
108.842,9.1874
109.842,9.1345
110.842,9.084
111.842,9.0426
112.842,8.998
113.842,8.9476
114.843,8.9134
115.843,8.8508
116.843,8.8023
117.843,8.762
118.843,8.7177
119.842,8.6643
120.843,8.6161
121.842,8.5719
122.842,8.5306
123.843,8.4847
124.843,8.4372
125.843,8.394
126.842,8.3389
127.842,8.3011
128.843,8.2627
129.843,8.2105
130.843,8.173
131.843,8.1271
132.842,8.0931
133.842,8.0404
