t (s),V (mV)
0,21.6275
0.967,21.6002
1.967,21.5571
2.968,21.5167
3.968,21.4755
4.967,21.4304
5.967,21.3882
6.967,21.3357
7.967,21.2942
8.967,21.2499
9.968,21.2015
10.968,21.1523
11.967,21.1072
12.968,21.0568
13.968,21.0128
14.967,20.9664
15.968,20.9198
16.968,20.8742
17.967,20.8279
18.967,20.7794
19.968,20.7321
20.968,20.6841
21.967,20.6387
22.967,20.5894
23.967,20.5439
24.967,20.499
25.968,20.4519
26.968,20.403
27.967,20.358
28.968,20.3139
29.968,20.2673
30.967,20.2223
31.968,20.1843
32.968,20.1397
33.967,20.0921
34.968,20.0464
35.968,20.002
36.968,19.9567
37.967,19.9116
38.967,19.875
39.967,19.8318
40.968,19.7867
41.968,19.7379
42.967,19.6989
43.968,19.6521
44.968,19.6099
45.968,19.5705
46.968,19.5253
47.967,19.4633
48.967,19.417
49.968,19.3682
50.968,19.33
51.967,19.3004
52.967,19.248
53.968,19.2042
54.968,19.1689
55.968,19.1307
56.967,19.0944
57.967,19.0452
58.967,19.0025
59.968,18.9613
60.968,18.928
61.968,18.8705
62.967,18.8165
63.968,18.8024
64.968,18.7684
65.967,18.719
66.968,18.6774
67.968,18.6472
68.967,18.5993
69.968,18.5633
70.967,18.4904
71.968,18.4305
72.967,18.4263
73.968,18.3989
74.967,18.313
75.968,18.2889
76.967,18.2774
77.968,18.2172
78.967,18.201
79.967,18.1657
80.968,18.1382
81.967,18.1259
82.968,18.0975
83.968,18.0602
84.967,18.0213
85.968,17.9795
86.967,17.9389
87.967,17.9031
88.967,17.8609
89.968,17.828
90.968,17.7907
91.967,17.7528
92.967,17.7163
93.967,17.6791
94.967,17.6396
95.968,17.6003
96.968,17.5654
97.967,17.5292
98.967,17.4941
99.968,17.46
100.968,17.4244
101.968,17.3784
102.967,17.3481
103.967,17.3133
104.968,17.2759
105.968,17.2424
106.967,17.2061
107.967,17.1708
108.967,17.1378
109.968,17.1017
110.968,17.0676
111.967,17.0331
112.968,16.9954
113.968,16.963
114.967,16.9269
115.968,16.8926
116.967,16.8578
117.968,16.8236
118.967,16.7915
119.968,16.7585
120.967,16.7219
121.968,16.6879
122.967,16.6586
123.968,16.6246
124.967,16.5917
125.968,16.5598
126.968,16.522
127.968,16.4971
128.967,16.463
129.968,16.4309
130.967,16.3999
131.968,16.3583
132.967,16.3319
133.968,16.2978
134.968,16.2614
135.968,16.2303
136.968,16.1976
137.968,16.1611
138.968,16.1324
139.968,16.0954
140.968,16.0616
141.968,16.034
142.967,16.0029
143.967,15.9715
144.967,15.9389
145.967,15.9083
146.968,15.8783
147.968,15.8458
148.967,15.8142
149.967,15.7884
150.968,15.7537
151.968,15.7236
152.967,15.6969
153.967,15.6595
154.968,15.6266
155.968,15.5974
156.967,15.5651
157.968,15.5332
158.967,15.5023
159.967,15.4729
160.967,15.4407
161.968,15.4088
162.968,15.3783
163.967,15.3488
164.967,15.3161
165.968,15.2848
166.968,15.2537
167.967,15.2203
168.968,15.1916
169.967,15.1613
170.968,15.1317
171.967,15.1022
172.968,15.0776
173.968,15.0419
174.967,15.01
175.968,14.9809
176.967,14.9514
177.968,14.9231
178.967,14.895
179.968,14.8642
180.968,14.8348
181.967,14.8036
182.967,14.774
183.968,14.7495
184.967,14.7227
185.968,14.6921
186.968,14.6694
187.968,14.6343
188.968,14.6061
189.967,14.5784
190.967,14.5502
191.967,14.5207
192.967,14.4936
193.967,14.4664
194.968,14.439
195.967,14.4122
196.967,14.3839
197.968,14.3574
198.968,14.33
199.967,14.3014
200.967,14.2731
201.967,14.2471
202.967,14.2195
203.968,14.1935
204.968,14.1663
205.967,14.1364
206.967,14.1109
207.967,14.0836
208.968,14.0582
209.967,14.0313
210.967,14.005
211.967,13.9792
212.967,13.9509
213.967,13.9247
214.968,13.8997
215.967,13.8707
216.968,13.8441
217.967,13.8171
218.967,13.7924
219.968,13.767
220.967,13.7393
221.968,13.7142
222.967,13.6867
223.968,13.6609
224.967,13.6346
225.968,13.6073
226.967,13.5802
227.968,13.5536
228.967,13.5268
229.968,13.502
230.967,13.4731
231.968,13.4466
232.967,13.4217
233.967,13.3953
234.968,13.3693
235.967,13.3409
236.967,13.3136
237.968,13.288
238.968,13.2661
239.967,13.2423
240.967,13.2154
241.967,13.1895
242.968,13.1694
243.968,13.1456
244.968,13.1211
245.968,13.0935
246.967,13.0618
247.968,13.0379
248.967,13.0113
249.968,12.9875
250.968,12.9619
251.968,12.9383
252.968,12.9105
253.967,12.8857
254.968,12.8585
255.967,12.8352
256.967,12.8106
257.968,12.7839
258.968,12.758
259.967,12.7357
260.968,12.708
261.967,12.6842
262.968,12.6585
263.967,12.6348
264.968,12.6121
265.967,12.5869
266.968,12.563
267.968,12.5404
268.967,12.5173
269.968,12.4906
270.968,12.471
271.968,12.4453
272.967,12.4214
273.968,12.3983
274.968,12.3737
275.967,12.3502
276.968,12.3264
277.967,12.3042
278.968,12.2778
279.967,12.2565
280.968,12.2363
281.968,12.2086
282.967,12.1865
283.968,12.1602
284.968,12.1394
285.967,12.1164
